Name,DOB,Cons,Cons Party,Cons Electoral District,I,I Party,I Electoral District,II,II Party,II Electoral District,III,III Party,III Electoral District,IV,IV Party,IV Electoral District,V,V Party,V Electoral District,VI,VI Party,VI Electoral District,VII,VII Party,VII Electoral District,VIII,VIII Party,VIII Electoral District,IX,IX Party,IX Electoral District,X,X Party,X Electoral District,XI,XI Party,XI Electoral District,XII,XII Party,XII Electoral District,XIII,XIII Party,XIII Electoral District,XIV,XIV Party,XIV Electoral District,XV,XV Party,XV Electoral District
Arménio dos Santos,1945-11-22,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,VISEU,0,,,0,,,0,,
Belarmino Henriques Correia,1940-11-17,0,,,0,,,0,,,0,,,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Bernardino Gata Silva,1946-01-01,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,CASTELO BRANCO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Alberto Lopes Pereira,1953-09-25,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,BRAGA,1,PSD,BRAGA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos de Almeida Figueiredo,1962-01-12,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Lélis da Câmara Gonçalves,1931-10-31,0,,,0,,,0,,,0,,,0,,,1,PSD,MADEIRA,1,PSD,MADEIRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Manuel Duarte de Oliveira,1957-02-18,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Manuel Marta Gonçalves,1957-04-07,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Manuel de Oliveira da Silva,1958-03-22,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Miguel Maximiano de Almeida Coelho,1960-05-20,0,,,1,PSD,LISBOA,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,SANTARÉM,1,PSD,SANTARÉM,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Carlos Miguel de Valleré Pinheiro de Oliveira,1961-04-18,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,FORA DA EUROPA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Cecília Pita Catarino,1949-04-21,0,,,1,PSD,MADEIRA,1,PSD,MADEIRA,1,PSD,MADEIRA,1,PSD,MADEIRA,1,PSD,MADEIRA,1,PSD,MADEIRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Delmar Ramiro Palas,1950-02-01,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,VILA REAL,0,,,0,,,1,PSD,VILA REAL,1,PSD,VILA REAL,0,,,0,,,0,,,0,,,0,,
Dinah Serrao Alhandra,1932-04-03,0,,,1,PSD,LISBOA,1,PSD,LISBOA,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Domingos Duarte Lima,1955-11-20,0,,,0,,,0,,,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,1,PSD,BRAGANÇA,0,,,1,PSD,LISBOA,0,,,1,PSD,BRAGANÇA,0,,,0,,,0,,,0,,,0,,
Domingos Jose Soares de Almeida Lima,1948-10-24,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Duarte Rogério Matos Ventura Pacheco,1965-11-25,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA
Eduardo Alfredo de Carvalho Pereira da Silva,1959-02-02,0,,,0,,,0,,,0,,,0,,,1,PSD,SANTARÉM,1,PSD,SANTARÉM,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Elói Franklin Fernandes Ribeiro,1953-04-02,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,VILA REAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Ema Maria Pereira Leite Loia Paulista,1944-04-28,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,AÇORES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando Carlos Branco Marques de Andrade,1950-12-06,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,VISEU,1,PSD,VISEU,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando Jose Antunes Gomes Pereira,1964-01-26,0,,,0,,,0,,,0,,,0,,,1,PSD,VILA REAL,1,PSD,VILA REAL,1,PSD,VILA REAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando Jose Russo Roque Correia Afonso,1929-07-03,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando Monteiro do Amaral,1925-01-13,1,PPD,VISEU,1,PSD,VISEU,0,,,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando dos Reis Condesso,1946-10-09,0,,,1,PSD,SANTARÉM,1,PSD,SANTARÉM,1,PSD,SANTARÉM,1,PSD,SANTARÉM,1,PSD,SANTARÉM,1,PSD,SANTARÉM,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Fernando dos Santos Antunes,1949-09-19,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,COIMBRA,0,,,0,,,0,,,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,
Fernando Santos Pereira,1960-05-27,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,BRAGA,1,PSD,BRAGA,1,PSD,BRAGA,1,PSD,BRAGA,1,PSD,BRAGA,0,,,0,,,0,,,0,,,0,,
Filipe Manuel da Silva Abreu,1947-07-24,0,,,0,,,0,,,0,,,0,,,1,PSD,FARO,1,PSD,FARO,1,PSD,FARO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Francisco Antunes da Silva,1948-03-04,0,,,0,,,0,,,1,PSD,CASTELO BRANCO,1,PSD,CASTELO BRANCO,1,PSD,CASTELO BRANCO,1,PSD,CASTELO BRANCO,1,PSD,CASTELO BRANCO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Francisco Joao Bernardino da Silva,1950-03-12,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Guido Orlando de Freitas Rodrigues,1935-04-21,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Hilário Torres Azevedo Marques,1940-04-19,0,,,0,,,0,,,0,,,0,,,1,PSD,VIANA DO CASTELO,1,PSD,VIANA DO CASTELO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Isilda Maria Renda Periquito Pires Martins,1940-08-16,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,FARO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jaime Carlos Marta Soares,1943-03-15,0,,,0,,,1,PSD,COIMBRA,1,PSD,COIMBRA,1,PSD,COIMBRA,1,PSD,COIMBRA,1,PSD,COIMBRA,0,,,1,PSD,COIMBRA,0,,,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,
Jaime Gomes Milhomens,1962-05-24,0,,,0,,,0,,,0,,,0,,,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João Alberto Granja dos Santos Silva,1963-09-27,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,BRAGA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João Álvaro Poças Santos,1959-06-29,0,,,0,,,0,,,0,,,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João Domingos Fernandes de Abreu Salgado,1950-04-18,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João Eduardo Dias Madeira Gouveia,1958-07-11,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,1,PS,COIMBRA,1,PS,COIMBRA,0,,
João Granja Rodrigues da Fonseca,1941-01-18,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João José Pedreira de Matos,1958-06-27,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João José da Silva Maçãs,1947-03-01,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTALEGRE,1,PSD,PORTALEGRE,0,,,1,PSD,PORTALEGRE,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João do Lago de Vasconcelos Mota,1942-11-12,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
João Maria Leitão de Oliveira Martins,1934-10-31,0,,,0,,,0,,,0,,,0,,,1,PSD,VIANA DO CASTELO,1,PSD,BRAGA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Cardoso Martins,1948-03-10,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Eduardo Gomes,1949-10-14,0,,,1,PPD,LISBOA,0,,,1,PSD,SETÚBAL,1,PSD,SETÚBAL,1,PSD,SETÚBAL,1,PSD,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Manuel Cabrita Neto,1940-09-22,0,,,1,PSD,FARO,1,PSD,FARO,0,,,1,PSD,FARO,0,,,1,PSD,FARO,1,PSD,FARO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Maria Fernandes Marques,1946-01-11,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,VIANA DO CASTELO,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Joaquim Vilela de Araújo,1943-02-14,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jorge Paulo de Seabra Roque da Cunha,1960-05-04,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Alberto Puig dos Santos Costa,1961-06-03,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José de Almeida Cesário,1958-07-20,0,,,0,,,0,,,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,FORA DA EUROPA,1,PSD,FORA DA EUROPA,1,PSD,FORA DA EUROPA,1,PSD,FORA DA EUROPA,1,PSD,FORA DA EUROPA,0,,
José Álvaro Machado Pacheco Pereira,1949-01-06,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,PORTO,1,PSD,AVEIRO,0,,,0,,,0,,,1,PSD,SANTARÉM,0,,,0,,,0,,,0,,
José Ângelo Ferreira Correia,1945-07-18,1,PPD,AVEIRO,1,PPD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jose Antonio Peixoto Lima,1959-02-18,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,BRAGA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Augusto Santos da Silva Marques,1938-11-07,0,,,0,,,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Bernardo Veloso Falcão E Cunha,1932-01-21,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,VISEU,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Fortunato Freitas Costa Leite,1944-06-16,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,VILA REAL,1,PSD,VILA REAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jose Guilherme Reis Leite,1943-12-25,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,AÇORES,1,PSD,AÇORES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Júlio Carvalho Ribeiro,1935-09-23,0,,,1,Independente desde 1979-04-18  PPD até 1979-04-18,AVEIRO,0,,,1,PSD,AVEIRO,0,,,0,,,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Leal Ferreira da Piedade,1942-01-24,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,ÉVORA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Leite Machado,1935-02-18,0,,,0,,,1,PSD,BRAGA,0,,,0,,,1,PSD,BRAGA,1,PSD,BRAGA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Macário Custódio Correia,1957-04-01,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,FARO,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Manuel Borregana Meireles,1962-10-12,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Manuel da Silva Costa,1952-10-30,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,SETÚBAL,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
José Mário Gaspar,1962-09-21,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,ÉVORA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jose de Oliveira Costa,1935-08-30,0,,,0,,,0,,,0,,,0,,,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Jose Pereira Lopes,1939-11-01,0,,,0,,,0,,,1,PSD,CASTELO BRANCO,1,PSD,CASTELO BRANCO,1,PSD,CASTELO BRANCO,1,PSD,EUROPA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Leonardo Eugenio Ribeiro de Almeida,1924-09-19,1,PPD,SANTARÉM,1,PSD,SANTARÉM,1,PSD,SANTARÉM,1,PSD,SANTARÉM,0,,,1,PSD,LISBOA,1,PSD,SANTARÉM,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Licínio Moreira da Silva,1936-07-31,0,,,0,,,0,,,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Luís António Carrilho da Cunha,1950-10-27,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,GUARDA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Luís António Martins,1946-03-27,0,,,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,1,PSD,VISEU,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Luís Carlos David Nobre,1965-07-08,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Luís Filipe Garrido Pais de Sousa,1958-01-20,0,,,0,,,0,,,0,,,0,,,1,PSD,COIMBRA,1,PSD,COIMBRA,0,,,0,,,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,
Luís Manuel Costa Geraldes,1950-03-02,0,,,0,,,0,,,0,,,1,PSD,FORA DA EUROPA,1,PSD,FORA DA EUROPA,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Acácio Martins Roque,1956-01-08,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Albino Casimiro de Almeida,1939-10-11,0,,,0,,,0,,,0,,,0,,,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Antero da Cunha Pinto,1962-07-18,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Castro de Almeida,1957-10-28,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,AVEIRO,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel da Costa Andrade,1944-10-08,1,PPD,BRAGANÇA,1,PPD,BRAGANÇA,1,PSD,COIMBRA,1,PSD,COIMBRA,1,PSD,COIMBRA,1,PSD,COIMBRA,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Joaquim Baptista Cardoso,1948-04-10,0,,,0,,,0,,,0,,,0,,,1,PSD,AVEIRO,1,PSD,AVEIRO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel de Lima Amorim,1934-05-27,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,VIANA DO CASTELO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Manuel Maria Moreira,1956-09-02,0,,,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,1,PSD,PORTO,0,,,0,,,0,,,0,,,0,,,0,,
Manuel da Silva Azevedo,1950-10-19,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,AÇORES,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria da Conceição Figueira Rodrigues,1957-10-27,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,PORTALEGRE,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria da Conceição Ulrich de Castro Pereira,1934-04-17,0,,,0,,,0,,,0,,,0,,,1,PSD,LISBOA,1,PSD,LISBOA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria Fernanda Cardoso Correia da Mota Pinto,1936-03-29,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,COIMBRA,1,PSD,COIMBRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria Fernanda Dias Cardoso,1965-04-14,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,MADEIRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria Leonor Couceiro Pizarro Beleza de Mendonça Tavares,1948-11-23,0,,,0,,,0,,,1,PSD,LISBOA,0,,,1,PSD,PORTO,1,PSD,LISBOA,0,,,0,,,1,PSD,PORTALEGRE,0,,,0,,,0,,,0,,,0,,,0,,
Maria Luisa Lourenço Ferreira,1936-01-19,0,,,0,,,0,,,0,,,0,,,1,PSD,LEIRIA,1,PSD,LEIRIA,1,PSD,LEIRIA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
Maria de Lurdes Borges Povoa Pombo Costa,1945-10-22,0,,,0,,,0,,,0,,,0,,,0,,,1,PSD,CASTELO BRANCO,1,PSD,CASTELO BRANCO,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
